system:index,label,.geo
2_0,1,"{""type"":""Polygon"",""coordinates"":[[[114.03222495755455,22.605300600712024],[114.03437072476646,22.60736073992513],[114.03645211896203,22.60536002823674],[114.03694564542076,22.606330674174064],[114.03763229092857,22.60726169547645],[114.03595859250328,22.60779653465231],[114.03402740201257,22.608489841600797],[114.03252536496421,22.608529459035196],[114.03020793637535,22.60736073992513],[114.03222495755455,22.605300600712024]]]}"
2_1,1,"{""type"":""Polygon"",""coordinates"":[[[114.03462821683189,22.603240430656054],[114.03649503430626,22.604468612671305],[114.03469258984825,22.606092965597988],[114.03289014539025,22.6048449888366],[114.03462821683189,22.603240430656054]]]}"
2_2,1,"{""type"":""Polygon"",""coordinates"":[[[114.04044324597619,22.611758241585836],[114.04108697613975,22.608826589429547],[114.04261047086023,22.610272614854765],[114.04044324597619,22.611758241585836]]]}"
2_3,1,"{""type"":""Polygon"",""coordinates"":[[[114.03956348141931,22.608628502571275],[114.04040033063194,22.608806780756552],[114.03964931210777,22.612114789614],[114.03825456342003,22.61142150093292],[114.03956348141931,22.608628502571275]]]}"
2_4,1,"{""type"":""Polygon"",""coordinates"":[[[114.03709584912559,22.610351848685426],[114.03791124066613,22.610847059093174],[114.0373318835189,22.61219402238365],[114.03617316922447,22.611263034458087],[114.03709584912559,22.610351848685426]]]}"
2_5,1,"{""type"":""Polygon"",""coordinates"":[[[114.02424239023297,22.62419524566653],[114.02649544580547,22.624155632744493],[114.02613066537945,22.62736424244622],[114.02430676324931,22.627463272418435],[114.02424239023297,22.62419524566653]]]}"
2_6,1,"{""type"":""Polygon"",""coordinates"":[[[114.03316878183452,22.624071676410622],[114.03492831094829,22.624844126803012],[114.03422020776837,22.627220870018018],[114.03374813898175,22.628508255434774],[114.03175257547466,22.628884565817685],[114.03316878183452,22.624071676410622]]]}"
2_7,1,"{""type"":""Polygon"",""coordinates"":[[[114.02823351724712,22.62462625661895],[114.0315809140977,22.624547031011883],[114.03025053842633,22.627181257967838],[114.02773999078839,22.62710203383322],[114.02823351724712,22.62462625661895]]]}"
2_8,1,"{""type"":""Polygon"",""coordinates"":[[[114.04973383385652,22.634273646421676],[114.04866095025055,22.63363988477192],[114.04917593438141,22.631659360777693],[114.05205126244537,22.631659360777697],[114.05136461693756,22.633263587409413],[114.05125732857698,22.63500642968551],[114.04964800316803,22.63502623458435],[114.04973383385652,22.634273646421676]]]}"
2_9,1,"{""type"":""Polygon"",""coordinates"":[[[114.04881483197306,22.635665459874254],[114.0505529034147,22.635883312559624],[114.05091768384072,22.637606317083506],[114.04840713620278,22.637725144185236],[114.04881483197306,22.635665459874254]]]}"
2_10,1,"{""type"":""MultiPolygon"",""coordinates"":[[[[114.15514060429354,22.71230871257046],[114.15510619878074,22.712506797288874],[114.15511692761682,22.712308860027463],[114.15514060429354,22.71230871257046]]],[[[114.15514060429354,22.71230871257046],[114.15541733502647,22.71071545464752],[114.15686572789451,22.710774836547184],[114.15670479535362,22.712298963156876],[114.15514060429354,22.71230871257046]]]]}"
2_11,1,"{""type"":""Polygon"",""coordinates"":[[[114.15333594083091,22.71256617841149],[114.15399039983055,22.711071745659147],[114.15449465512536,22.712308860027463],[114.15377582310936,22.712585972113295],[114.15333594083091,22.71256617841149]]]}"
2_12,1,"{""type"":""Polygon"",""coordinates"":[[[114.16848067221626,22.72124260613103],[114.16851285872443,22.719184176014227],[114.16925314841254,22.71921386513023],[114.16933897910101,22.721054577742013],[114.16848067221626,22.72124260613103]]]}"
2_13,1,"{""type"":""Polygon"",""coordinates"":[[[114.16410330710396,22.721282191022105],[114.16342739043219,22.719520652285063],[114.16439298567755,22.71924355423979],[114.16514400420174,22.72088634159598],[114.16410330710396,22.721282191022105]]]}"
2_14,1,"{""type"":""Polygon"",""coordinates"":[[[114.04474604385369,22.508246852206188],[114.04576528327935,22.508207205956584],[114.04581892745966,22.51011021311439],[114.04433834808344,22.510060655968495],[114.04443490760796,22.508276586885938],[114.04474604385369,22.508246852206188]]]}"
2_15,1,"{""type"":""Polygon"",""coordinates"":[[[114.04278266685479,22.509793047073693],[114.04269683616631,22.508564021793806],[114.04387700813287,22.508395525540983],[114.04418814437861,22.509664198161847],[114.04278266685479,22.509793047073693]]]}"
2_16,1,"{""type"":""Polygon"",""coordinates"":[[[114.0531294909145,22.511309401105958],[114.05364447504536,22.510080389305617],[114.05589753061786,22.51099223781633],[114.05579024225726,22.511923902908986],[114.0531294909145,22.511309401105958]]]}"
2_17,1,"{""type"":""Polygon"",""coordinates"":[[[114.05153596204325,22.51270896129794],[114.05193292897745,22.511588986517932],[114.0554198006968,22.51274860625662],[114.05518376630349,22.51362079247091],[114.05153596204325,22.51270896129794]]]}"
2_18,1,"{""type"":""Polygon"",""coordinates"":[[[114.0470620374064,22.512322422355016],[114.04733025830788,22.5107564330145],[114.05127846997782,22.511985438804956],[114.05099952024027,22.512897274750387],[114.0470620374064,22.512322422355016]]]}"
2_19,1,"{""type"":""Polygon"",""coordinates"":[[[114.0508914261067,22.516533745701416],[114.05136349489332,22.514809226712558],[114.05275824358105,22.51504709267989],[114.05365946581007,22.51589944236804],[114.05350926210522,22.516712142989444],[114.05232909013868,22.518040204451193],[114.05086996843457,22.517187867965063],[114.0508914261067,22.516533745701416]]]}"
2_20,1,"{""type"":""Polygon"",""coordinates"":[[[114.05509712984205,22.518040204451193],[114.05608418275953,22.516256238351268],[114.06065466692091,22.51926914547964],[114.05975344469189,22.52039896871832],[114.05509712984205,22.518040204451193]]]}"
2_21,1,"{""type"":""Polygon"",""coordinates"":[[[114.06612731569179,22.520529462825543],[114.06595565431482,22.5185076692564],[114.06704999559291,22.518686063996455],[114.06767226808437,22.520648390937843],[114.06612731569179,22.520529462825543]]]}"
2_22,1,"{""type"":""Polygon"",""coordinates"":[[[114.05429253463991,22.524593847028648],[114.05747899894959,22.524593847028648],[114.05743608360537,22.525674075180735],[114.05441055183657,22.52558488235049],[114.05429253463991,22.524593847028648]]]}"
2_23,1,"{""type"":""Polygon"",""coordinates"":[[[114.051843705071,22.524455101516278],[114.05319553841449,22.52464339896358],[114.0532169960866,22.52572362672823],[114.05174714554646,22.525753357648185],[114.051843705071,22.524455101516278]]]}"
2_24,1,"{""type"":""Polygon"",""coordinates"":[[[114.04543780381594,22.524138131244303],[114.04682182366763,22.524375981154463],[114.0467467218152,22.525485941987572],[114.04536270196353,22.525466121336606],[114.04543780381594,22.524138131244303]]]}"
2_25,1,"{""type"":""Polygon"",""coordinates"":[[[114.03834831177451,22.528269437769293],[114.03854143082357,22.527833391577442],[114.04032241760946,22.529488377776016],[114.03854143082357,22.52940909745224],[114.03834831177451,22.528269437769293]]]}"
2_26,1,"{""type"":""Polygon"",""coordinates"":[[[114.04035460411764,22.528834313743953],[114.03930317818381,22.52767482898458],[114.04050480782247,22.527446894938475],[114.04129874169088,22.528120785813073],[114.04035460411764,22.528834313743953]]]}"
2_27,1,"{""type"":""Polygon"",""coordinates"":[[[114.03304429759241,22.52852710078112],[114.03202505816675,22.527258601312358],[114.03236838092066,22.52709012785039],[114.03352709521509,22.528081145264398],[114.03304429759241,22.52852710078112]]]}"
2_28,1,"{""type"":""Polygon"",""coordinates"":[[[114.02660593861717,22.52761383276435],[114.02787194127221,22.526117388669267],[114.02965292805808,22.52694984963672],[114.02782902592797,22.528515655483204],[114.02660593861717,22.52761383276435]]]}"
2_29,1,"{""type"":""Polygon"",""coordinates"":[[[114.02125906734128,22.53044010373329],[114.02193498401301,22.529350002803852],[114.02283620624202,22.529260812347037],[114.02345847873347,22.53024190420424],[114.02250361232417,22.53083650193815],[114.02125906734128,22.53044010373329]]]}"
